RegionID,RegionName,SizeRank,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02
102001,United States,0,1373,1380,1387,1395,1402,1409,1416,1424,1431,1438,1445,1451,1458,1464,1469,1475,1481,1486,1492,1498,1503,1509,1514,1520,1525,1530,1535,1540,1545,1549,1554,1558,1562,1567,1571,1575,1579,1583,1587,1591,1595,1598,1602,1606,1610,1614,1619,1623,1628,1633,1638,1643,1648,1653,1658,1663,1668,1673,1678,1683,1689,1694,1699,1704,1709,1714,1719,1723,1727,1732,1734,1737,1740,1741,1742,1743,1743,1744,1745,1746,1746,1747,1748,1748,1749,1750
394913,"New York, NY",1,2394,2406,2418,2430,2442,2454,2466,2478,2489,2501,2512,2523,2534,2544,2553,2563,2572,2581,2590,2598,2605,2613,2619,2625,2630,2635,2640,2645,2649,2653,2657,2661,2665,2669,2673,2677,2681,2684,2688,2692,2695,2698,2701,2704,2706,2709,2711,2714,2717,2721,2724,2728,2732,2736,2740,2745,2750,2755,2761,2767,2772,2778,2784,2790,2796,2802,2808,2812,2817,2821,2820,2818,2816,2803,2790,2777,2755,2732,2710,2688,2665,2643,2619,2595,2572,2548
753899,"Los Angeles-Long Beach-Anaheim, CA",2,1822,1839,1856,1873,1889,1906,1922,1938,1955,1971,1985,1999,2013,2024,2036,2047,2059,2071,2082,2095,2107,2119,2131,2144,2156,2168,2179,2191,2202,2212,2223,2233,2243,2253,2263,2273,2283,2292,2302,2311,2320,2329,2338,2346,2354,2363,2371,2379,2387,2395,2404,2412,2421,2429,2438,2447,2455,2463,2471,2479,2487,2494,2501,2508,2515,2522,2529,2535,2540,2546,2548,2551,2553,2553,2552,2552,2551,2550,2548,2547,2546,2545,2544,2542,2541,2540
394463,"Chicago, IL",3,1508,1514,1519,1525,1531,1536,1542,1547,1552,1557,1562,1566,1571,1575,1578,1582,1587,1591,1595,1600,1605,1610,1616,1621,1627,1631,1635,1639,1643,1646,1649,1652,1655,1657,1660,1663,1665,1668,1670,1673,1675,1678,1680,1683,1686,1688,1691,1693,1696,1699,1701,1704,1707,1710,1713,1717,1720,1723,1727,1731,1734,1738,1743,1747,1751,1755,1759,1763,1766,1769,1770,1771,1772,1770,1768,1766,1762,1757,1753,1749,1744,1740,1735,1731,1726,1722
394514,"Dallas-Fort Worth, TX",4,1189,1196,1204,1211,1218,1225,1232,1239,1246,1253,1260,1266,1273,1278,1284,1289,1295,1300,1305,1311,1316,1322,1327,1333,1339,1345,1351,1356,1362,1368,1374,1379,1384,1390,1395,1399,1404,1408,1413,1417,1421,1425,1429,1433,1437,1441,1445,1449,1453,1456,1460,1464,1468,1472,1476,1480,1485,1489,1494,1498,1503,1508,1512,1517,1521,1526,1530,1534,1537,1541,1543,1544,1546,1548,1549,1550,1553,1555,1558,1561,1563,1566,1569,1572,1575,1578
394974,"Philadelphia, PA",5,1334,1339,1343,1348,1353,1357,1362,1366,1371,1375,1379,1383,1387,1391,1394,1397,1401,1405,1408,1412,1416,1420,1424,1427,1431,1435,1438,1442,1445,1449,1453,1456,1459,1463,1466,1468,1471,1473,1476,1478,1480,1482,1484,1486,1488,1490,1494,1497,1500,1504,1508,1512,1516,1521,1525,1530,1535,1539,1543,1548,1552,1557,1561,1565,1570,1574,1578,1582,1586,1589,1592,1594,1596,1598,1600,1601,1604,1607,1609,1612,1615,1617,1620,1623,1626,1629
394692,"Houston, TX",6,1223,1234,1246,1257,1268,1279,1290,1301,1311,1322,1330,1337,1345,1349,1354,1358,1361,1364,1367,1370,1372,1374,1376,1377,1378,1379,1380,1380,1380,1380,1381,1380,1380,1379,1379,1378,1378,1378,1379,1379,1382,1384,1387,1391,1395,1398,1403,1408,1412,1416,1420,1424,1426,1429,1431,1432,1433,1435,1436,1438,1440,1442,1444,1446,1448,1450,1453,1455,1457,1459,1459,1459,1459,1458,1458,1457,1458,1458,1459,1459,1459,1460,1460,1461,1461,1462
395209,"Washington, DC",7,1839,1847,1856,1864,1872,1880,1888,1896,1903,1911,1916,1922,1927,1930,1933,1935,1939,1942,1945,1949,1953,1957,1960,1964,1967,1970,1973,1976,1979,1981,1983,1986,1989,1991,1994,1998,2001,2004,2007,2011,2013,2015,2017,2019,2021,2022,2025,2027,2030,2033,2037,2041,2046,2051,2056,2061,2066,2072,2077,2082,2087,2092,2097,2102,2106,2111,2116,2119,2123,2127,2127,2127,2128,2124,2120,2117,2111,2105,2099,2093,2087,2080,2074,2068,2061,2055
394856,"Miami-Fort Lauderdale, FL",8,1556,1564,1573,1581,1589,1597,1605,1614,1622,1630,1638,1647,1655,1663,1671,1678,1686,1694,1702,1709,1717,1724,1731,1738,1744,1749,1754,1760,1763,1767,1771,1774,1776,1779,1781,1784,1786,1788,1791,1793,1796,1799,1801,1804,1808,1811,1814,1818,1822,1826,1831,1835,1839,1844,1848,1853,1857,1861,1865,1868,1872,1876,1879,1883,1887,1890,1894,1898,1902,1907,1909,1912,1915,1917,1920,1922,1925,1928,1931,1934,1938,1941,1945,1948,1952,1955
394347,"Atlanta, GA",9,1130,1135,1140,1145,1150,1155,1160,1166,1171,1176,1181,1187,1192,1197,1203,1208,1214,1219,1224,1230,1236,1242,1248,1254,1260,1267,1274,1280,1287,1294,1300,1306,1313,1319,1324,1330,1336,1342,1347,1353,1359,1364,1370,1376,1382,1388,1394,1400,1406,1413,1420,1426,1434,1441,1448,1456,1464,1471,1478,1486,1493,1500,1506,1513,1518,1524,1529,1534,1538,1543,1546,1550,1553,1558,1562,1567,1574,1581,1588,1596,1603,1610,1618,1626,1634,1642
394404,"Boston, MA",10,1994,2001,2008,2015,2021,2028,2035,2041,2048,2055,2061,2068,2075,2081,2087,2093,2100,2107,2114,2121,2129,2137,2145,2152,2160,2167,2175,2182,2189,2197,2204,2211,2218,2225,2231,2237,2243,2249,2254,2260,2265,2270,2275,2280,2285,2289,2295,2300,2305,2311,2317,2323,2329,2335,2341,2347,2353,2359,2365,2372,2378,2385,2391,2398,2404,2411,2417,2423,2428,2434,2435,2435,2436,2429,2422,2415,2402,2388,2375,2362,2348,2335,2321,2307,2293,2278
395057,"San Francisco, CA",11,2161,2200,2240,2279,2318,2357,2395,2434,2472,2510,2545,2581,2616,2645,2673,2702,2726,2750,2774,2794,2815,2835,2851,2867,2883,2894,2904,2915,2922,2928,2935,2939,2944,2948,2954,2959,2964,2972,2979,2986,2994,3001,3008,3016,3023,3030,3037,3045,3052,3060,3068,3077,3086,3095,3104,3113,3122,3132,3140,3149,3158,3166,3173,3181,3188,3196,3203,3208,3214,3219,3217,3215,3213,3199,3185,3172,3147,3123,3099,3074,3049,3024,2998,2972,2946,2919
394532,"Detroit, MI",12,1042,1045,1049,1052,1055,1059,1062,1065,1069,1072,1075,1078,1082,1084,1087,1090,1093,1096,1100,1103,1106,1109,1112,1115,1119,1122,1125,1128,1130,1133,1136,1139,1141,1144,1147,1151,1154,1157,1161,1164,1167,1171,1174,1178,1182,1185,1189,1193,1197,1200,1204,1208,1212,1215,1219,1223,1226,1229,1233,1236,1239,1243,1246,1249,1252,1255,1258,1261,1264,1266,1269,1272,1274,1278,1282,1286,1292,1298,1305,1311,1318,1324,1331,1338,1345,1352
395025,"Riverside, CA",13,1461,1468,1476,1483,1491,1498,1506,1513,1521,1529,1536,1543,1550,1557,1564,1571,1578,1585,1592,1599,1606,1612,1619,1626,1633,1640,1647,1653,1661,1668,1675,1682,1690,1697,1706,1714,1722,1731,1739,1747,1756,1764,1772,1780,1789,1797,1806,1815,1824,1833,1842,1851,1860,1868,1877,1885,1893,1901,1909,1916,1924,1931,1939,1946,1954,1962,1970,1977,1984,1992,1999,2006,2013,2023,2033,2043,2059,2075,2090,2106,2122,2138,2155,2172,2189,2206
394976,"Phoenix, AZ",14,990,995,1000,1005,1010,1015,1020,1025,1030,1035,1040,1046,1051,1057,1062,1068,1074,1079,1084,1090,1095,1100,1106,1111,1117,1122,1128,1134,1140,1145,1151,1156,1161,1167,1171,1176,1181,1186,1190,1194,1198,1202,1206,1211,1215,1220,1226,1232,1238,1246,1253,1260,1268,1277,1285,1293,1302,1310,1319,1328,1336,1345,1354,1362,1372,1381,1390,1398,1407,1415,1422,1429,1435,1443,1450,1457,1467,1477,1488,1498,1509,1519,1530,1541,1552,1563
395078,"Seattle, WA",15,1353,1367,1381,1395,1408,1421,1435,1448,1461,1475,1487,1498,1510,1520,1530,1539,1549,1559,1568,1578,1589,1599,1610,1620,1631,1642,1653,1663,1674,1684,1695,1705,1715,1725,1736,1746,1756,1766,1775,1785,1792,1799,1807,1812,1818,1824,1829,1834,1839,1844,1849,1854,1859,1865,1871,1877,1883,1890,1897,1904,1911,1918,1925,1933,1941,1949,1957,1965,1973,1981,1985,1989,1993,1992,1991,1989,1982,1974,1966,1958,1950,1942,1933,1924,1915,1905
394865,"Minneapolis-St Paul, MN",16,1197,1204,1210,1217,1223,1229,1235,1241,1247,1254,1259,1264,1269,1273,1277,1281,1285,1290,1294,1299,1304,1308,1313,1317,1322,1327,1332,1337,1342,1347,1353,1358,1363,1369,1374,1379,1384,1389,1394,1398,1403,1407,1412,1416,1420,1425,1429,1434,1438,1443,1448,1453,1458,1462,1467,1472,1477,1482,1487,1492,1497,1502,1507,1512,1516,1521,1526,1531,1535,1540,1542,1545,1547,1549,1551,1552,1553,1554,1556,1556,1557,1558,1559,1560,1561,1562
395056,"San Diego, CA",17,1673,1686,1698,1711,1724,1737,1749,1762,1775,1787,1799,1811,1823,1833,1844,1854,1863,1872,1881,1889,1898,1906,1916,1925,1935,1944,1953,1963,1972,1981,1991,1999,2008,2017,2026,2034,2043,2052,2061,2070,2078,2086,2094,2102,2110,2118,2126,2135,2143,2152,2160,2169,2177,2185,2194,2201,2208,2215,2221,2227,2233,2239,2245,2250,2256,2263,2269,2274,2280,2286,2290,2293,2297,2302,2306,2310,2318,2326,2334,2342,2351,2359,2368,2376,2385,2394
395121,"St. Louis, MO",18,955,958,961,963,966,968,971,974,976,979,981,984,987,989,991,993,995,997,1000,1002,1004,1007,1009,1011,1014,1016,1019,1021,1023,1025,1027,1029,1031,1033,1035,1036,1038,1039,1041,1042,1044,1046,1047,1049,1050,1052,1054,1056,1058,1061,1063,1065,1067,1069,1071,1073,1076,1078,1080,1083,1085,1088,1091,1094,1097,1101,1104,1107,1111,1114,1117,1120,1123,1126,1129,1132,1136,1140,1144,1148,1151,1155,1159,1163,1167,1171
395148,"Tampa, FL",19,1126,1131,1136,1141,1146,1151,1156,1161,1166,1172,1177,1182,1187,1191,1196,1201,1206,1212,1217,1222,1228,1233,1239,1245,1250,1256,1261,1267,1272,1277,1282,1287,1292,1297,1301,1306,1311,1315,1320,1324,1329,1334,1339,1344,1349,1355,1360,1366,1372,1378,1384,1390,1395,1401,1406,1411,1417,1422,1427,1432,1436,1442,1447,1452,1457,1463,1468,1473,1479,1484,1488,1493,1497,1502,1508,1513,1521,1529,1538,1546,1555,1563,1572,1581,1590,1599
